policy_key,comision_soft,comision_guro,cobrado_guro,diff_comision
AA005985,-169236815.70000002,0.0,0.0,169236815.70000002
101006431,-69713226.0,0.0,0.0,69713226.0
1000272-20,36554074.870000005,0.0,0.0,36554074.870000005
AA005986,31714871.259999994,0.0,0.0,31714871.259999994
AA005985/CERTIFICADO AB002836,21600816.599999998,0.0,0.0,21600816.599999998
1000272,19903743.0,0.0,0.0,19903743.0
1000000615,16492800.0,0.0,0.0,16492800.0
1000000218-46,14664234.0,0.0,0.0,14664234.0
1000000033,14481285.0,0.0,0.0,14481285.0
1000167-28,14341557.0,0.0,0.0,14341557.0
1000000218,13190433.0,0.0,0.0,13190433.0
1000000617,12417181.0,0.0,0.0,12417181.0
1000000218-24,11855769.0,0.0,0.0,11855769.0
1000000033-30,11141213.0,0.0,0.0,11141213.0
1000167,10900692.69,0.0,0.0,10900692.69
1000167-20,9815282.0,0.0,0.0,9815282.0
1000103-13,9019589.38,0.0,0.0,9019589.38
1000003019,8982768.4,0.0,0.0,8982768.4
1000000615-7,8246400.0,0.0,0.0,8246400.0
1000000715,8090400.0,0.0,0.0,8090400.0
1000000614,7929200.0,0.0,0.0,7929200.0
101236665,6787955.13,0.0,0.0,6787955.13
1000003480,6750800.0,0.0,0.0,6750800.0
1000003750,6593359.0,0.0,0.0,6593359.0
1000003986,6480800.0,0.0,0.0,6480800.0
1000004130,6423200.0,0.0,0.0,6423200.0
1000000617-5,6172800.0,0.0,0.0,6172800.0
1000003604,5967436.0,0.0,0.0,5967436.0
1000003384,5864000.0,0.0,0.0,5864000.0
101236666,5540049.9,0.0,0.0,5540049.9
2000018224,5501208.2,0.0,0.0,5501208.2
1000000033-18,5123432.0,0.0,0.0,5123432.0
101162017-11,5090754.0,0.0,0.0,5090754.0
1000003982,4840000.0,0.0,0.0,4840000.0
1000003646,4791451.0,0.0,0.0,4791451.0
AA005270,4591912.0,0.0,0.0,4591912.0
101004128-7,4369852.0,0.0,0.0,4369852.0
AB000348,4346284.5,0.0,0.0,4346284.5
101005888-1,-4273470.0,0.0,0.0,4273470.0
AA006228,4066331.0,0.0,0.0,4066331.0
1000000715-5,4045200.0,0.0,0.0,4045200.0
1000000715-4,4045200.0,0.0,0.0,4045200.0
AA006234,3911506.0500000003,0.0,0.0,3911506.0500000003
AA000710,3907200.0,0.0,0.0,3907200.0
1000000835,3475600.0,0.0,0.0,3475600.0
1000003356,3422408.0,0.0,0.0,3422408.0
101000680,3260054.0,0.0,0.0,3260054.0
1000004017,3238400.0,0.0,0.0,3238400.0
1000003941,3208201.4,0.0,0.0,3208201.4
101004128-5,3178575.0,0.0,0.0,3178575.0
3156495,3123401.0,0.0,0.0,3123401.0
101247463,3068859.0,0.0,0.0,3068859.0
1000003364,3010271.0,0.0,0.0,3010271.0
101090585,2949672.69,0.0,0.0,2949672.69
101065748,2932382.0,0.0,0.0,2932382.0
1000003405,2702028.0,0.0,0.0,2702028.0
101000800,2677453.0,0.0,0.0,2677453.0
2050330714901,2670758.0,0.0,0.0,2670758.0
1000004243,2520000.0,0.0,0.0,2520000.0
1000003550,2456000.0,0.0,0.0,2456000.0
101000520,2364048.0,0.0,0.0,2364048.0
AA005903,2288606.0,0.0,0.0,2288606.0
101000542-1,2238117.0,0.0,0.0,2238117.0
1000003776,2157600.0,0.0,0.0,2157600.0
AA005230,2142817.0,0.0,0.0,2142817.0
AA005636/AB000658,2130250.0,0.0,0.0,2130250.0
1000004013,2096000.0,0.0,0.0,2096000.0
1000004197,2080800.0,0.0,0.0,2080800.0
1000004164,2078000.0,0.0,0.0,2078000.0
1000003358,2073999.8,0.0,0.0,2073999.8
1000002713,2068805.0,0.0,0.0,2068805.0
1000003403,2068515.0,0.0,0.0,2068515.0
1000004003,2044000.0,0.0,0.0,2044000.0
1000004334,2040000.0,0.0,0.0,2040000.0
1000003640,2031986.8,0.0,0.0,2031986.8
1000004344,1992000.0,0.0,0.0,1992000.0
101064971-3,1968049.0,0.0,0.0,1968049.0
10100520-2,1951701.0,0.0,0.0,1951701.0
1000003999,1922397.0,0.0,0.0,1922397.0
1000003994,1908000.0,0.0,0.0,1908000.0
1000004395,1903200.0,0.0,0.0,1903200.0
3013552,1902000.0,0.0,0.0,1902000.0
1000004060,1872000.0,0.0,0.0,1872000.0
2000341379,1867530.0,0.0,0.0,1867530.0
1000003250,1860000.0,0.0,0.0,1860000.0
1000003571,1844803.2,0.0,0.0,1844803.2
AA005636/AB002640,1844091.3800000001,0.0,0.0,1844091.3800000001
1000002907,1832000.0,0.0,0.0,1832000.0
AA005636/AA039971,1806385.34,0.0,0.0,1806385.34
1000004264,1804000.0,0.0,0.0,1804000.0
1000228-2,1792668.0,0.0,0.0,1792668.0
3014371,1759353.0,0.0,0.0,1759353.0
101004712-3,-1758669.11,0.0,0.0,1758669.11
900001410753,1722205.8,0.0,0.0,1722205.8
1000003021,1708000.2,0.0,0.0,1708000.2
1000004063,1692000.0,0.0,0.0,1692000.0
1000003997,1655998.0,0.0,0.0,1655998.0
101002646,1612050.0,0.0,0.0,1612050.0
1000003738,1608000.0,0.0,0.0,1608000.0
101238562,1604926.2000000002,0.0,0.0,1604926.2000000002
