policy_key,prima_guro,prima_soft,diff_prima,diff_prima_pct,status,numero_renovacion
1000272-55,128535428.0,152957159.32,24421731.319999993,15.97,active,5
1000167-35,94502600.0,112458094.0,17955494.0,15.97,active,4
101001149,58178607.0,69530142.0,11351535.0,16.33,active,3
101000556,35085114.0,44975225.66,9890111.659999996,21.99,expired,0
1408004212481000,10000000.0,1504700.0,8495300.0,564.58,active,1
AB000348,28975230.0,37415180.0,8439950.0,22.56,active,0
AB000189/AB006444,42807543.0,50940976.17,8133433.170000002,15.97,active,2
101000581,5071480.0,83300.0,4988180.0,5988.21,expired,0
101090585,25600908.0,30465080.52,4864172.52,15.97,active,0
1901125002588,17819323.0,22500310.0,4680987.0,20.8,active,0
101001165,21070529.0,25371529.0,4301000.0,16.95,active,5
2000556671,15990250.0,19135697.0,3145447.0,16.44,active,1
101000448-1,15239130.0,18134552.0,2895422.0,15.97,expired,4
101000542-1,14920780.0,17755728.2,2834948.1999999993,15.97,active,3
3015816,12196857.0,14514260.83,2317403.83,15.97,active,0
2000663075,11731640.0,13990402.0,2258762.0,16.15,active,0
2000594042,11552860.0,13777653.0,2224793.0,16.15,active,0
2000607245,9071280.0,11285890.0,2214610.0,19.62,active,1
900001410753,11481372.0,13662832.68,2181460.6799999997,15.97,active,0
3014789,11029811.0,13125475.09,2095664.0899999999,15.97,expired,1
0002,10975981.0,13061418.39,2085437.3900000006,15.97,active,4
2000559656,10222580.0,12194620.0,1972040.0,16.17,active,0
2000604302,7189560.0,9158605.0,1969045.0,21.5,active,5
101005639-4,6620672.0,8584370.0,1963698.0,22.88,expired,4
2000654365,10085300.0,12031257.0,1945957.0,16.17,active,0
2000676816,10085300.0,12031257.0,1945957.0,16.17,active,0
2000653761,10085300.0,12031257.0,1945957.0,16.17,active,0
101000713-1,9788153.0,11647902.07,1859749.0700000003,15.97,active,4
2000668524,9291130.0,11130045.0,1838915.0,16.52,active,3
101000369-2,6146455.0,7959820.45,1813365.4500000002,22.78,active,4
2000414197,9273660.0,11065405.4,1791745.4000000004,16.19,active,2
2000653969,9209870.0,10989495.0,1779625.0,16.19,active,3
2000702703,9170011.0,10942063.0,1772052.0,16.19,active,0
101007381-1,9184503.0,10929559.57,1745056.5700000003,15.97,active,1
2000581866,8757020.0,10450604.8,1693584.8000000007,16.21,active,0
AA005636/AB006315,8979410.0,10672112.0,1692702.0,15.86,active,4
1000084,5704845.0,7391270.0,1686425.0,22.82,expired,0
2000701887,8447540.0,10082323.0,1634783.0,16.21,active,0
3016003,8528969.0,10149473.11,1620504.1099999994,15.97,active,5
2000637837,8352315.0,9969005.85,1616690.8499999996,16.22,active,0
AB000306,8485044.0,10089226.0,1604182.0,15.9,active,0
2000364771/1805329025,8272715.0,9874281.85,1601566.8499999996,16.22,active,2
101276423,8284849.0,9882770.0,1597921.0,16.17,active,0
101003293-3,8276498.0,9849033.0,1572535.0,15.97,active,3
3015657,8249594.0,9817017.0,1567423.0,15.97,active,4
2000647551,8025700.0,9580333.0,1554633.0,16.23,active,0
3016024,8153664.0,9702861.16,1549197.1600000001,15.97,active,0
101000221-6,8136257.0,9682146.83,1545889.83,15.97,active,3
3016356,8135094.0,9680762.86,1545668.8599999994,15.97,active,5
3016298,8016135.0,9539201.65,1523066.6500000004,15.97,active,5
101252422,7886988.0,9409315.0,1522327.0,16.18,active,0
2000580771,7833980.0,9352186.2,1518206.1999999993,16.23,active,0
2000701857,7735870.0,9235435.0,1499565.0,16.24,active,0
