id,policy_key,status,premium_amount,insurance_company,ramo_nombre,start_date,end_date,numero_renovacion
131926,3123123,renewed,10080000.0,Seguros del Estado,AUTOMOVILES,2026-02-27,2026-02-28,0
131927,3123123-R01,active,10080000.0,Seguros del Estado,AUTOMOVILES,2026-02-28,2027-02-28,0
200001,4308007630157000,active,167000.0,PREVISORA,SOAT,2026-02-27,2027-02-26,0
200002,4308007629501000,active,388500.0,PREVISORA,SOAT,2026-02-27,2027-02-26,1
200003,4308007627780000,active,736200.0,PREVISORA,SOAT,2026-02-27,2027-02-26,0
200004,4308007629539000,active,736200.0,PREVISORA,SOAT,2026-02-27,2027-02-26,0
200005,4308007630433000,active,444100.0,PREVISORA,SOAT,2026-02-28,2027-02-27,1
200006,14289416881060,active,356800.0,SEGUROS DEL ESTADO S.A,SOAT,2026-02-27,2027-02-26,0
200007,4308007634784000,active,224300.0,PREVISORA,SOAT,2026-03-03,2027-03-02,1
200012,4308007628149000,active,736200.0,PREVISORA,SOAT,2026-02-27,2027-02-26,0
200013,4308007628811000,active,292700.0,PREVISORA,SOAT,2026-02-27,2027-02-26,0
200014,4308007629049000,active,842400.0,PREVISORA,SOAT,2026-02-28,2027-02-27,0
200015,4308007627710000,active,444100.0,PREVISORA,SOAT,2026-03-01,2027-02-28,1
200016,4308007627776000,active,444100.0,PREVISORA,SOAT,2026-02-27,2027-02-26,0
200017,4308007627962000,active,388500.0,PREVISORA,SOAT,2026-02-27,2027-02-26,0
200103,4308006483207000,expired,618900.0,PREVISORA,SOAT,2026-02-20,2027-02-19,0
200705,1408004227057000,expired,62200.0,PREVISORA,SOAT,2025-12-24,2026-01-23,0
200745,1000143,cancelled,4967769.0,AXA COLPATRIA SEGUROS S.A.,AUTOMOVILES,2025-12-19,2026-12-19,0
200776,PI308564,cancelled,2203912.0,EQUIDAD,AUTOMOVILES,2025-12-05,2026-12-05,0
201067,AB000189,expired,7271418.0,EQUIDAD,COPROPIEDADES,2025-10-31,2026-01-01,1
201229,1408004224352000,expired,62200.0,PREVISORA,SOAT,2025-10-31,2025-11-30,0
201268,2000654378,cancelled,10688054.0,MUNDIAL DE SEGUROS,AUTOMOVILES,2025-10-02,2026-10-02,0
201310,250011110,expired,420000.0,MUNDIAL DE SEGUROS,RESPONSABILIDAD CIVIL,2025-11-05,2025-11-08,0
201458,156200495490,expired,88800.0,SEGUROS DEL ESTADO S.A,SOAT,2025-10-10,2025-11-09,1
201787,10565200490200,expired,69400.0,SEGUROS DEL ESTADO S.A,SOAT,2025-09-20,2025-10-19,0
201796,1408004222448000,expired,43400.0,PREVISORA,SOAT,2025-09-19,2025-10-18,1
201868,1408004222119000,expired,222700.0,PREVISORA,SOAT,2025-09-12,2025-12-11,3
201955,1408004221620000,expired,51500.0,PREVISORA,SOAT,2025-09-03,2025-10-02,0
202105,4308005694822000,expired,392200.0,PREVISORA,SOAT,2024-09-01,2025-08-31,0
202171,10565200480130,expired,58400.0,SEGUROS DEL ESTADO S.A,SOAT,2025-08-14,2025-09-13,0
202182,10565200480110,expired,35700.0,SEGUROS DEL ESTADO S.A,SOAT,2025-08-14,2025-09-13,0
202187,10565200479700,expired,58400.0,SEGUROS DEL ESTADO S.A,SOAT,2025-08-13,2025-09-12,0
202246,10565200476280,expired,62200.0,SEGUROS DEL ESTADO S.A,SOAT,2025-08-07,2025-09-06,0
202272,10565200477890,expired,70200.0,SEGUROS DEL ESTADO S.A,SOAT,2025-08-06,2025-09-05,1
202293,10565200477420,expired,62200.0,SEGUROS DEL ESTADO S.A,SOAT,2025-08-05,2024-09-04,0
202336,43080056100644000,expired,677800.0,PREVISORA,SOAT,2025-08-01,2026-08-01,2
202417,994000008998,expired,33415.0,ASEGURADORA SOLIDARIA DE COLOMBIA,RESPONSABILIDAD CIVIL,2025-01-28,2025-04-19,0
202431,10565200474120,expired,59700.0,SEGUROS DEL ESTADO S.A,SOAT,2025-07-25,2025-08-25,0
202450,10565200473280,expired,30000.0,SEGUROS DEL ESTADO S.A,SOAT,2025-07-23,2025-08-23,0
202458,PE222484,cancelled,1673769.0,EQUIDAD,AUTOMOVILES,2025-06-28,2026-06-28,4
202644,1056200469240,expired,139600.0,SEGUROS DEL ESTADO S.A,SOAT,2025-07-10,2025-10-09,0
202675,10565200468730,expired,44500.0,SEGUROS DEL ESTADO S.A,SOAT,2025-07-09,2025-08-08,0
202715,15683800008080,expired,88800.0,SEGUROS DEL ESTADO S.A,SOAT,2025-07-05,2025-10-04,0
202749,10565200467350,expired,75400.0,SEGUROS DEL ESTADO S.A,SOAT,2025-07-04,2025-08-04,0
202806,1408004218030000,expired,124300.0,PREVISORA,SOAT,2025-06-27,2025-09-26,0
202807,1408004218034000,expired,124300.0,PREVISORA,SOAT,2025-06-27,2025-09-26,0
202808,1408004218035000,expired,124300.0,PREVISORA,SOAT,2025-06-27,2025-09-26,0
202816,1408004218033000,expired,124300.0,PREVISORA,SOAT,2025-06-27,2025-09-09,0
202820,10565200465950,expired,88800.0,SEGUROS DEL ESTADO S.A,SOAT,2025-06-28,2025-09-27,0
202839,10565200465100,expired,347200.0,SEGUROS DEL ESTADO S.A,SOAT,2025-06-26,2025-11-25,0
202864,10565200464130,expired,58100.0,SEGUROS DEL ESTADO S.A,SOAT,2025-06-21,2024-07-20,0
202910,994000000259-4,cancelled,0.0,ASEGURADORA SOLIDARIA DE COLOMBIA,AUTOMOVILES,2025-08-17,2026-08-17,5
202913,1408004217462000,expired,110600.0,PREVISORA,SOAT,2025-06-18,2025-09-17,0
203002,994000000221,expired,42325.0,ASEGURADORA SOLIDARIA DE COLOMBIA,RESPONSABILIDAD CIVIL,2024-11-05,2025-11-05,0
203037,1408004216924000,expired,208300.0,PREVISORA,SOAT,2025-06-06,2025-09-06,2
203038,1408004216923000,expired,24300.0,PREVISORA,SOAT,2025-06-07,2025-07-06,0
203104,10565200457290,expired,71800.0,SEGUROS DEL ESTADO S.A,SOAT,2025-05-29,2025-06-29,0
203163,430800540644000,expired,201600.0,PREVISORA,SOAT,2024-06-01,2025-05-31,0
203175,1408004194901000,expired,484600.0,PREVISORA,SOAT,2024-05-31,2025-05-30,0
203176,1408004194902000,expired,912800.0,PREVISORA,SOAT,2024-05-31,2025-05-30,0
203177,4308005405379000,expired,201600.0,PREVISORA,SOAT,2024-05-31,2025-05-30,0
203178,4308005405617000,expired,201600.0,PREVISORA,SOAT,2024-06-01,2025-05-31,0
203179,4308005405931000,expired,201600.0,PREVISORA,SOAT,2024-06-01,2025-05-31,0
203180,4308005406104000,expired,201600.0,PREVISORA,SOAT,2024-06-01,2025-05-31,0
203181,4308005406071000,expired,201600.0,PREVISORA,SOAT,2024-06-01,2025-05-31,0
203182,4308005405266000,expired,201600.0,PREVISORA,SOAT,2024-06-02,2025-06-01,0
203193,4308005398391000,expired,803200.0,PREVISORA,SOAT,2024-05-31,2025-05-30,0
203194,4308005398781000,expired,389300.0,PREVISORA,SOAT,2024-05-31,2025-05-30,0
203195,4308005399027000,expired,484600.0,PREVISORA,SOAT,2024-05-31,2025-05-30,0
203196,4308005400131000,expired,389300.0,PREVISORA,SOAT,2024-05-31,2025-05-30,0
203197,4308005400227000,expired,677800.0,PREVISORA,SOAT,2024-05-31,2025-05-30,0
203198,4308005400325000,expired,912800.0,PREVISORA,SOAT,2024-05-31,2025-05-30,0
203199,4308005400747000,expired,803200.0,PREVISORA,SOAT,2024-05-31,2025-05-30,0
203200,4308005401441000,expired,319400.0,PREVISORA,SOAT,2024-05-31,2025-05-30,0
203203,1408004194714000,expired,803200.0,PREVISORA,SOAT,2024-05-28,2025-05-27,0
203204,4308005401804000,expired,201600.0,PREVISORA,SOAT,2024-05-31,2025-05-30,0
203205,4308005400686000,expired,201600.0,PREVISORA,SOAT,2024-05-31,2025-05-30,0
203207,4308005400576000,expired,201600.0,PREVISORA,SOAT,2024-05-31,2025-05-30,0
203209,4308005398809000,expired,201600.0,PREVISORA,SOAT,2024-05-31,2025-05-30,0
203210,4308005398533000,expired,201600.0,PREVISORA,SOAT,2024-05-31,2025-05-30,0
203211,4308005398275000,expired,201600.0,PREVISORA,SOAT,2024-05-31,2025-05-30,0
203212,4308005398313000,expired,201600.0,PREVISORA,SOAT,2024-05-31,2025-05-30,0
203214,14289409239560,expired,389300.0,SEGUROS DEL ESTADO S.A,SOAT,2024-06-01,2025-05-31,0
203215,14289409240010,expired,424000.0,SEGUROS DEL ESTADO S.A,SOAT,2024-05-29,2025-05-28,0
203216,4308005390903000,expired,201600.0,PREVISORA,SOAT,2024-05-29,2025-05-28,0
203217,4308009390179000,expired,201600.0,PREVISORA,SOAT,2024-05-29,2025-05-28,0
203218,4308005389949000,expired,201600.0,PREVISORA,SOAT,2024-05-29,2025-05-28,0
203219,4308005389876000,expired,201600.0,PREVISORA,SOAT,2024-05-29,2025-05-28,0
203220,4308005388890000,expired,201600.0,PREVISORA,SOAT,2024-05-29,2025-05-28,0
203221,4308005388853000,expired,201600.0,PREVISORA,SOAT,2024-05-29,2025-05-28,0
203222,4308005392275000,expired,201600.0,PREVISORA,SOAT,2024-05-29,2025-05-28,0
203229,10565200455590,expired,95800.0,SEGUROS DEL ESTADO S.A,SOAT,2025-05-22,2025-08-21,1
203276,4308005394710000,expired,484600.0,PREVISORA,SOAT,2024-05-30,2025-05-29,0
203277,4308005396927000,expired,677800.0,PREVISORA,SOAT,2024-05-30,2025-05-29,0
203278,10565200352640,expired,201600.0,PREVISORA,SOAT,2024-05-29,2025-05-28,0
203279,10565200352630,expired,201600.0,SEGUROS DEL ESTADO S.A,SOAT,2024-05-29,2025-05-28,0
203293,4308005396110000,expired,201500.0,PREVISORA,SOAT,2024-05-30,2025-05-29,0
203294,4308005396321000,expired,201600.0,PREVISORA,SOAT,2024-05-30,2025-05-29,0
203296,4308005396213000,expired,484600.0,PREVISORA,SOAT,2024-05-30,2025-05-29,0
203297,4308005393968000,expired,919000.0,PREVISORA,SOAT,2024-05-30,2025-05-29,0
203298,43080065394047000,expired,803200.0,PREVISORA,SOAT,2024-05-30,2025-05-29,0
203311,14289409252790,expired,201600.0,SEGUROS DEL ESTADO S.A,SOAT,2024-05-30,2025-05-29,0
203312,4308005394495000,expired,206700.0,PREVISORA,SOAT,2024-05-30,2025-05-29,0
203325,10565200453450,expired,59700.0,SEGUROS DEL ESTADO S.A,SOAT,2025-05-14,2024-06-14,0
203339,10565200453070,expired,134100.0,SEGUROS DEL ESTADO S.A,SOAT,2025-05-13,2025-08-12,0
203369,2050330740103,expired,3791556.0,BOLIVAR,AUTOMOVILES,2025-12-24,2026-12-24,2
203376,890109 NO R,expired,484600.0,PREVISORA,SOAT,2025-04-28,2026-04-27,0
203389,10100737,expired,0.0,SEGUROS DEL ESTADO S.A,AUTOMOVILES,2024-06-07,2025-06-07,1
203391,100296,expired,0.0,AURORA SEGUROS DE VIDA,VIDA GRUPO,2024-03-01,2025-03-01,0
203394,4308006336964000,expired,424000.0,PREVISORA,SOAT,2024-05-25,2025-05-24,0
203397,4308005336604000,expired,389300.0,PREVISORA,SOAT,2024-05-25,2025-05-24,0
203398,4308005338176000,expired,389300.0,PREVISORA,SOAT,2024-05-07,2025-05-06,0
203399,4308005338382000,expired,319400.0,PREVISORA,SOAT,2024-05-07,2025-05-06,0
203400,4308005338486000,expired,424000.0,PREVISORA,SOAT,2024-05-07,2025-05-06,0
203401,39165546,expired,544800.0,SURA,SOAT,2024-05-08,2025-05-07,0
203408,4308006775982000,expired,733400.0,PREVISORA,SOAT,2024-05-06,2025-05-05,1
203409,430805337632000,expired,150100.0,PREVISORA,SOAT,2024-05-07,2025-05-06,0
203410,4308005337233000,expired,803200.0,PREVISORA,SOAT,2024-05-07,2025-05-06,0
203454,4308005334498000,expired,677800.0,PREVISORA,SOAT,2024-05-05,2025-05-04,0
203455,4308005334528000,expired,803200.0,PREVISORA,SOAT,2024-05-05,2025-05-04,0
203456,4308005334260000,expired,677800.0,PREVISORA,SOAT,2024-05-06,2025-05-05,0
203457,4308005335082000,expired,389300.0,PREVISORA,SOAT,2024-05-05,2025-05-04,0
203458,8901092597601,expired,677800.0,BOLIVAR,SOAT,2024-05-25,2025-05-24,0
203459,4308005337769000,expired,803200.0,PREVISORA,SOAT,2024-05-07,2025-05-06,0
203471,10565200450540,expired,52400.0,SEGUROS DEL ESTADO S.A,SOAT,2025-05-01,2025-05-31,0
203504,4308006748423745000,cancelled,733400.0,PREVISORA,SOAT,2025-04-29,2026-04-28,0
203523,4308005334773000,expired,424000.0,PREVISORA,SOAT,2024-05-05,2025-05-04,0
203525,101001272,expired,2450000.0,SEGUROS DEL ESTADO S.A,JUDICIAL,2025-05-08,2025-05-11,0
203542,4308005334854000,expired,389300.0,PREVISORA,SOAT,2024-05-05,2025-05-04,0
203543,4308005332894000,expired,803200.0,PREVISORA,SOAT,2024-05-04,2025-05-03,0
