id,policy_number,aseguradora_id,insurance_company,status
131926,3123123,615,Seguros del Estado,renewed
131927,3123123-R01,615,Seguros del Estado,active
200006,14289416881060,615,SEGUROS DEL ESTADO S.A,active
200019,10565200541340,615,SEGUROS DEL ESTADO S.A,active
200028,10565200540420,615,SEGUROS DEL ESTADO S.A,active
200029,10565200540430,615,SEGUROS DEL ESTADO S.A,active
200034,14289416860590,615,SEGUROS DEL ESTADO S.A,active
200047,10565200540890,615,SEGUROS DEL ESTADO S.A,active
200064,PI322380,693,EQUIDAD,active
200065,PE236157,693,EQUIDAD,active
200099,PI320861,693,EQUIDAD,active
200100,1000145,611,AXA COLPATRIA SEGUROS S.A.,active
200101,300000146,615,SEGUROS DEL ESTADO S.A,active
200102,101000162-4,615,SEGUROS DEL ESTADO S.A,active
200104,PI320694,693,EQUIDAD,active
200108,101000971-1,615,SEGUROS DEL ESTADO S.A,active
200109,PI322007,693,EQUIDAD,active
200110,101007911,615,SEGUROS DEL ESTADO S.A,active
200113,PI320688,693,EQUIDAD,active
200114,101001149,615,SEGUROS DEL ESTADO S.A,active
200115,101001165,615,SEGUROS DEL ESTADO S.A,active
200117,1000156,611,AXA COLPATRIA SEGUROS S.A.,active
200120,101007919,615,SEGUROS DEL ESTADO S.A,active
200122,PE270984,693,EQUIDAD,active
200123,101000866-3,615,SEGUROS DEL ESTADO S.A,active
200124,101000880-3,615,SEGUROS DEL ESTADO S.A,active
200125,101000864-3,615,SEGUROS DEL ESTADO S.A,active
200126,101000878-3,615,SEGUROS DEL ESTADO S.A,active
200127,101000956-1,615,SEGUROS DEL ESTADO S.A,active
200130,2050330998601,690,BOLIVAR,active
200135,105652005391000,615,SEGUROS DEL ESTADO S.A,active
200140,10565200538280,615,SEGUROS DEL ESTADO S.A,active
200163,10565200537700,615,SEGUROS DEL ESTADO S.A,active
200182,10565200536710,615,SEGUROS DEL ESTADO S.A,active
200183,10565200536720,615,SEGUROS DEL ESTADO S.A,active
200195,10565200536170,615,SEGUROS DEL ESTADO S.A,active
200248,10565200534280,615,SEGUROS DEL ESTADO S.A,active
200251,10565200534780,615,SEGUROS DEL ESTADO S.A,active
200272,14289416632270,615,SEGUROS DEL ESTADO S.A,active
200273,101001148,615,SEGUROS DEL ESTADO S.A,active
200274,101001164,615,SEGUROS DEL ESTADO S.A,active
200281,10565200533300,615,SEGUROS DEL ESTADO S.A,active
200282,101000713-1,615,SEGUROS DEL ESTADO S.A,active
200283,AB000210/CERTIFICADO,693,EQUIDAD,active
200292,10565200533310,615,SEGUROS DEL ESTADO S.A,active
200310,10565200532750,615,SEGUROS DEL ESTADO S.A,active
200311,10565200532730,615,SEGUROS DEL ESTADO S.A,active
200338,1000137,611,AXA COLPATRIA SEGUROS S.A.,active
200342,1000153,611,AXA COLPATRIA SEGUROS S.A.,active
200345,1000140,611,AXA COLPATRIA SEGUROS S.A.,active
200353,101000466-3,615,SEGUROS DEL ESTADO S.A,active
200354,101000465-2,615,SEGUROS DEL ESTADO S.A,active
200364,PE270292,693,EQUIDAD,active
200366,PI318443,693,EQUIDAD,active
200368,1000135,611,AXA COLPATRIA SEGUROS S.A.,active
200371,AA005712-5,693,EQUIDAD,active
200420,1000152,611,AXA COLPATRIA SEGUROS S.A.,active
200427,4308007514271000,610,ALLIANZ SEGUROS,active
200433,10565200528550,615,SEGUROS DEL ESTADO S.A,active
200435,PI316523,615,SEGUROS DEL ESTADO S.A,active
200436,AA005636/AB006315,693,EQUIDAD,active
200442,105000278,615,SEGUROS DEL ESTADO S.A,active
200455,PE267446,693,EQUIDAD,active
200456,PE236394,693,EQUIDAD,active
200465,10565200528050,615,SEGUROS DEL ESTADO S.A,active
200466,10565200528030,615,SEGUROS DEL ESTADO S.A,active
200494,AB000189/AB006444,693,EQUIDAD,active
200504,105000286,615,SEGUROS DEL ESTADO S.A,active
200505,105000287,615,SEGUROS DEL ESTADO S.A,active
200507,1000003668,615,SEGUROS DEL ESTADO S.A,expired
200514,4308007499994000,610,ALLIANZ SEGUROS,active
200545,10565200526360,615,SEGUROS DEL ESTADO S.A,active
200564,101000542-1,615,SEGUROS DEL ESTADO S.A,active
200571,PI313070,693,EQUIDAD,active
200572,AA005407 CERTIFICADO AB006441,693,EQUIDAD,active
200580,PI312626,693,EQUIDAD,active
200599,1000149,611,AXA COLPATRIA SEGUROS S.A.,active
200604,1000136,611,AXA COLPATRIA SEGUROS S.A.,active
200614,101015730,615,SEGUROS DEL ESTADO S.A,active
200617,10565200525540,615,SEGUROS DEL ESTADO S.A,expired
200619,4308007482737000,610,ALLIANZ SEGUROS,active
200657,101000545-1,615,SEGUROS DEL ESTADO S.A,active
200658,101000343-3,615,SEGUROS DEL ESTADO S.A,active
200676,1000130,611,AXA COLPATRIA SEGUROS S.A.,active
200685,14289416132770,615,SEGUROS DEL ESTADO S.A,active
200686,10565200522690,615,SEGUROS DEL ESTADO S.A,expired
200689,10565200521090,615,SEGUROS DEL ESTADO S.A,expired
200695,101090585,615,SEGUROS DEL ESTADO S.A,active
200702,10565200521120,615,SEGUROS DEL ESTADO S.A,active
200703,10565200521100,615,SEGUROS DEL ESTADO S.A,active
200714,4308007399633000,610,ALLIANZ SEGUROS,active
200716,101007849,615,SEGUROS DEL ESTADO S.A,active
200739,101003293-3,615,SEGUROS DEL ESTADO S.A,active
200742,AB000357,693,EQUIDAD,active
200743,2050330980201,690,BOLIVAR,active
200745,1000143,611,AXA COLPATRIA SEGUROS S.A.,cancelled
200749,10565200516070,615,SEGUROS DEL ESTADO S.A,expired
200750,AB000351,693,EQUIDAD,active
200757,101007799,615,SEGUROS DEL ESTADO S.A,active
200766,10565200514000,615,SEGUROS DEL ESTADO S.A,active
