id,poliza_id,numero_cuota,prima_total_pago,saldo_pendiente_oficina,numero_renovacion
91232,,/0,35700.0,35700.0,0
91367,,/0,8488987.57,8488987.57,0
91167,,/0,2346282.54,2346282.54,0
91219,,/0,41687155.33,41687155.33,0
91212,,/0,96854045.26,96854045.26,0
91211,,/0,6102905.48,6102905.48,0
91220,,/0,35700.0,35700.0,0
91210,,/0,8379801.5,8379801.5,0
91343,,/0,168226.73,0.56,0
94415,,/0,1309717.57,1309717.57,0
94348,,/0,29750.0,29750.0,0
94349,,/0,55713.42,55713.42,0
94408,,/0,83223.84,83223.84,0
94421,,/0,102111.52,102111.52,0
94420,,/0,84945.77,84945.77,0
94419,,/0,80920.0,80920.0,0
94350,,/0,42537.74,42537.74,0
94409,,/0,83223.84,83223.84,0
94351,,/0,63424.62,63424.62,0
94414,,/0,251399.4,251399.4,0
94355,,/0,171217.2,171217.2,0
94352,,/0,43958.6,43958.6,0
94353,,/0,41570.27,41570.27,0
94347,,/0,1312284.4,1312284.4,0
94406,,/0,470919.89,470919.89,0
94404,,/0,61408.76,61408.76,0
94442,,/0,45298.54,45298.54,0
94441,,/0,44022.86,44022.86,0
94345,,/0,41220.41,41220.41,0
94439,,/0,134957.9,134957.9,0
94438,,/0,135921.8,135921.8,0
94437,,/0,769217.19,769217.19,0
94354,,/0,57120.0,57120.0,0
94392,,/0,46304.09,46304.09,0
94388,,/0,543950.19,543950.19,0
94360,,/0,29750.0,0.0,0
94390,,/0,20522.74,20522.74,0
94443,,/0,42377.09,42377.09,0
94394,,/0,101150.0,101150.0,0
94383,,/0,57120.0,57120.0,0
94647,,/0,35700.0,35700.0,0
94527,,/0,2120937.0,2120937.0,0
94528,,/0,777367.5,777367.5,0
94529,,/0,8111899.18,8111899.18,0
94530,,/0,1708649.6,1708649.6,0
94531,,/0,4399854.83,4399854.83,0
94532,,/0,1597265.6,1597265.6,0
94533,,/0,1895249.93,1895249.93,0
94534,,/0,53072.81,53072.81,0
94535,,/0,42840.0,42840.0,0
94536,,/0,147548.1,147548.1,0
94537,,/0,365627.5,365627.5,0
94538,,/0,42210.49,0.0,0
94634,,/0,217056.0,217056.0,0
94540,,/0,41897.52,0.0,0
94526,,/0,7474586.35,7474586.35,0
94635,,/0,35700.0,35700.0,0
94511,,/0,228006.38,0.0,0
94646,,/0,228421.69,228421.69,0
94513,,/0,365614.41,365614.41,0
94514,,/0,54135.48,54135.48,0
94515,,/0,47584.53,47584.53,0
94645,,/0,35700.0,35700.0,0
94644,,/0,129750.46,129750.46,0
94642,,/0,35700.0,35700.0,0
94641,,/0,35700.0,35700.0,0
94639,,/0,43245.79,43245.79,0
94521,,/0,35700.0,0.0,0
94638,,/0,35700.0,35700.0,0
94636,,/0,35700.0,35700.0,0
94524,,/0,1613782.8,1613782.8,0
94633,,/0,1229331.88,1229331.88,0
94632,,/0,35700.0,35700.0,0
94631,,/0,35700.0,35700.0,0
94604,,/0,157285.87,157285.87,0
94561,,/0,61727.68,61727.68,0
94562,,/0,35700.0,35700.0,0
94600,,/0,455523.67,455523.67,0
94599,,/0,120100.75,120100.75,0
94593,,/0,107967.51,107967.51,0
94566,,/0,35700.0,0.0,0
94567,,/0,55155.31,55155.31,0
94592,,/0,60053.35,60053.35,0
94569,,/0,35700.0,35700.0,0
94570,,/0,35700.0,35700.0,0
94591,,/0,393937.6,393937.6,0
94585,,/0,4652546.57,4652546.57,0
94584,,/0,729232.0,729232.0,0
94605,,/0,27452.11,27452.11,0
94606,,/0,40460.0,40460.0,0
94630,,/0,197936.27,197936.27,0
94545,,/0,43451.66,43451.66,0
94546,,/0,42840.0,42840.0,0
94629,,/0,33320.0,33320.0,0
94548,,/0,101150.0,101150.0,0
94628,,/0,117334.0,117334.0,0
94627,,/0,62466.67,62466.67,0
94626,,/0,35700.0,35700.0,0
94625,,/0,35700.0,35700.0,0
94624,,/0,35700.0,35700.0,0
