poliza_id,policy_number,renov_int,numero_cuota,count
213017.0,1000003982,0,1/18,7
208116.0,AA005808,0,6/10,7
201125.0,AA005647,0,1/1,7
201608.0,AA006143,0,3/10,6
208116.0,AA005808,0,10/10,6
208116.0,AA005808,0,8/10,6
205797.0,101003533,0,1/1,6
201608.0,AA006143,0,9/10,6
209868.0,1000004277,0,1/58,5
208116.0,AA005808,0,3/10,5
201608.0,AA006143,0,1/10,5
201608.0,AA006143,0,10/10,5
201608.0,AA006143,0,2/10,5
208116.0,AA005808,0,1/10,5
201608.0,AA006143,0,4/10,5
205354.0,AA005616,0,1/1,5
208116.0,AA005808,0,2/10,5
208116.0,AA005808,0,4/10,5
209001.0,AA005612,0,1/1,5
208116.0,AA005808,0,5/10,5
208116.0,AA005808,0,7/10,5
208116.0,AA005808,0,9/10,5
201608.0,AA006143,0,6/10,5
201608.0,AA006143,0,7/10,5
201608.0,AA006143,0,8/10,5
208778.0,101007233,0,1/1,5
208830.0,AA005649,0,1/1,5
202905.0,AA006084,0,1/1,5
201608.0,AA006143,0,5/10,5
214471.0,AA005290,0,5/10,4
214471.0,AA005290,0,7/10,4
214471.0,AA005290,0,6/10,4
203986.0,AA005986,0,1/13,4
214471.0,AA005290,0,4/10,4
214471.0,AA005290,0,3/10,4
214471.0,AA005290,0,2/10,4
214471.0,AA005290,0,10/10,4
214471.0,AA005290,0,1/10,4
214266.0,AA005617,0,1/1,4
208101.0,AA005809,0,1/1,4
214558.0,2050330522803,0,1/1,4
212375.0,1000003987,0,5/8,4
212264.0,AA005768,0,10/10,4
208379.0,AA006011,0,1/1,4
208636.0,AA005713,0,1/1,4
211565.0,AA005818,0,1/1,4
214471.0,AA005290,0,8/10,4
214471.0,AA005290,0,9/10,4
214568.0,AA005593,0,1/1,4
206125.0,AA005912,0,1/1,4
