policy_key,saldo_soft_oficina,cuotas_soft,saldo_guro_oficina,cuotas_guro,diff_saldo
88238,96854045.26,1.0,0.0,,96854045.26
88237,41687155.33,1.0,0.0,,41687155.33
41-44-101303675,0.0,,32822669.0,1.0,32822669.0
101291767,8488987.57,1.0,0.0,,8488987.57
25623,8379801.5,1.0,0.0,,8379801.5
3123123-R01,0.0,,7080000.0,1.0,7080000.0
25622,6102905.48,1.0,0.0,,6102905.48
1000005315,3720000.0,2.0,7000000.0,4.0,3280000.0
1010707591,-3039302.0,1.0,0.0,1.0,3039302.0
AA005986,70689898.26,24.0,73668731.0,68.0,2978832.7399999946
1000005475,0.0,,2460000.0,1.0,2460000.0
1000003602,2880000.0,3.0,5280000.0,7.0,2400000.0
2050330522803,-2356219.0,1.0,0.0,4.0,2356219.0
101287571,2346282.54,1.0,0.0,,2346282.54
PI323890,1917819.0,9.0,0.0,,1917819.0
101071031-1,-1741777.0,1.0,0.0,1.0,1741777.0
AA005985,47180447.38,19.0,48817490.0,51.0,1637042.6199999973
,0.0,,1604373.0,1.0,1604373.0
_X000E__X0017__X000E_,1604373.0,1.0,0.0,,1604373.0
41-40-101059608,0.0,,1593618.0,1.0,1593618.0
AB000306,388887.95999999996,5.0,1968568.0,6.0,1579680.04
10002323-,-1506528.0,1.0,0.0,1.0,1506528.0
4308006578031000,0.0,,1437048.0,2.0,1437048.0
2000556672,3387566.5500000003,3.0,4783118.99,5.0,1395552.44
2050330852501,1270233.0,1.0,2540466.0,2.0,1270233.0
1408004212485000,0.0,,995033.0,2.0,995033.0
AB000307,456174.51,5.0,1443000.0,7.0,986825.49
2000382853,3199953.0,4.0,4115081.0,21.0,915128.0
41-45-101094719,0.0,,898526.0,1.0,898526.0
3000753-3,843377.0,2.0,1666000.0,2.0,822623.0
101067611-1,-803374.0,1.0,0.0,1.0,803374.0
AA005985/CERTIFICADO AB002836,-676548.0,1.0,0.0,7.0,676548.0
2000265028-1,612636.0,1.0,1225272.0,15.0,612636.0
4308007099922000,0.0,,593800.0,1.0,593800.0
2000556671,12215557.58,3.0,12757131.34,4.0,541573.7599999998
101000716,3353897.0,2.0,3873455.0,8.0,519558.0
43080071062126000,0.0,,487500.0,1.0,487500.0
101066353-1,-486736.0,1.0,0.0,1.0,486736.0
93833429,475000.0,1.0,950000.0,2.0,475000.0
2050330756801,-244873.0,2.0,212321.0,10.0,457194.0
4308007122472000,403450.0,1.0,806900.0,2.0,403450.0
101226214-1,-370229.0,1.0,0.0,1.0,370229.0
101069340-2,-355821.0,1.0,0.0,1.0,355821.0
101234940-1,-351658.0,1.0,0.0,1.0,351658.0
101006053-1,3951782.0,9.0,4301980.0,11.0,350198.0
2000382854,1208649.0,5.0,1545374.0,22.0,336725.0
101000727,28141.0,3.0,351398.0,8.0,323257.0
101063536-1,-316300.0,1.0,0.0,1.0,316300.0
1000003405,89532.0,2.0,403944.0,3.0,314412.0
1000003700,-299998.0,2.0,0.0,10.0,299998.0
101039692-1,-281539.0,1.0,0.0,1.0,281539.0
1000004287,119500.0,6.0,389500.0,21.0,270000.0
101006999-1,2145783.0,9.0,2383310.0,11.0,237527.0
994000000280,0.0,,232050.0,8.0,232050.0
101066183-1,-207988.0,1.0,0.0,1.0,207988.0
101040340-1,-182070.0,1.0,0.0,1.0,182070.0
101039825-1,-180880.0,1.0,0.0,1.0,180880.0
101039995-1,-180880.0,1.0,0.0,1.0,180880.0
101226340-1,-174240.0,1.0,0.0,1.0,174240.0
101069921-1,-173425.0,1.0,0.0,1.0,173425.0
101036560-1,-158067.0,1.0,0.0,1.0,158067.0
1000004883,126000.0,5.0,270000.0,6.0,144000.0
AA005945,2526608.0,26.0,2667236.0,32.0,140628.0
AA000683,-102817.0,6.0,32183.0,9.0,135000.0
101063821-1,-117119.0,1.0,0.0,1.0,117119.0
101069171-1,-109607.0,1.0,0.0,1.0,109607.0
994000061940,0.0,,107433.20000000001,3.0,107433.20000000001
100005017,0.0,,103155.0,2.0,103155.0
101064436-1,-100698.0,1.0,0.0,1.0,100698.0
101054659,0.0,,97076.63,3.0,97076.63
101089732,0.0,,95570.09,2.0,95570.09
41-40-101059617,0.0,,77018.0,1.0,77018.0
100030963,0.0,,76281.38,2.0,76281.38
1000003808,75000.0,1.0,150000.0,2.0,75000.0
1000003795,72023.0,1.0,144046.0,3.0,72023.0
1000005318,140000.0,2.0,210000.0,3.0,70000.0
101289753,0.0,,68791.52,2.0,68791.52
994000004388,50908.0,1.0,101816.0,2.0,50908.0
1000003941,133500.0,12.0,177000.0,49.0,43500.0
994000002879,0.0,,42840.0,2.0,42840.0
994000061822,0.0,,39146.24,2.0,39146.24
100036048,0.0,,38803.52,2.0,38803.52
100036006,0.0,,37613.52,2.0,37613.52
100004284,36021.0,1.0,72042.0,2.0,36021.0
100008720,0.0,,35700.0,2.0,35700.0
100040949,35700.0,1.0,0.0,,35700.0
100040446,35700.0,1.0,0.0,,35700.0
1000004676,32000.0,1.0,64000.0,27.0,32000.0
1000004013,120000.0,5.0,150000.0,19.0,30000.0
100001240-2,29078.0,1.0,58156.0,2.0,29078.0
101054671,0.0,,25070.92,2.0,25070.92
101053975,0.0,,20523.0,2.0,20523.0
101287573,0.0,,19040.0,3.0,19040.0
1000003637,40002.0,5.0,50002.0,13.0,10000.0
101000833,8800.0,1.0,17600.0,2.0,8800.0
100293,6000.0,1.0,12000.0,7.0,6000.0
100037874,5636.63,1.0,11273.26,2.0,5636.63
994000010178,2862.0,1.0,5724.0,3.0,2862.0
