id,poliza_id,numero_cuota,prima_total_pago,saldo_pendiente_oficina,numero_renovacion
88646,226963.0,1/1,-86721.0,-86721.0,0
88811,228887.0,11/11,-80000.0,-80000.0,0
88643,226983.0,1/1,-67732.0,-67732.0,0
89187,222562.0,1/1,-61880.0,-61880.0,0
88490,227541.0,1/2,-56342.0,-56342.0,0
88491,227541.0,2/2,-56342.0,-56342.0,0
89262,221800.0,1/1,-45220.0,-45220.0,0
88753,226099.0,1/1,-44030.0,-44030.0,0
89928,217300.0,16/17,-38000.0,-38000.0,0
91478,203987.0,2/6,-28849.0,-28849.0,0
88745,226294.0,1/1,-27199.0,-27199.0,0
89516,220603.0,31/32,-23364.0,-23364.0,0
91480,203987.0,4/6,-22685.0,-22685.0,0
91346,204622.0,24/25,-18000.0,-18000.0,0
91483,203988.0,4/8,-15000.0,-15000.0,0
91324,203971.0,3/6,-13232.0,-13232.0,0
91481,203988.0,2/8,-12575.0,-12575.0,0
91479,203987.0,3/6,-12575.0,-12575.0,0
91111,208003.0,5/5,-12000.0,-12000.0,0
90850,208443.0,5/5,-11845.0,-11845.0,0
91491,203971.0,6/6,-11672.0,-11672.0,0
89379,220813.0,7/9,-11425.0,-11425.0,0
91003,208429.0,4/7,-10000.0,-10000.0,0
89995,212547.0,3/14,-10000.0,-10000.0,0
91486,203988.0,7/8,-8672.0,-8672.0,0
91043,206869.0,27/59,-8500.0,-8500.0,0
90747,208111.0,2/3,-8000.0,-8000.0,0
88626,227107.0,1/1,-7297.0,-7297.0,0
88640,227017.0,1/1,-6496.0,-6496.0,0
89859,211834.0,4/4,-3617.0,-3617.0,0
88823,225651.0,1/1,-1553.0,-1553.0,0
89267,221788.0,1/1,-1016.0,-1016.0,0
88726,226356.0,1/1,-219.0,-219.0,0
